# mur		muf		alpsfact	dynamical_scale	pdf		cross-section
1.0		1.0		1.0		-1		247032		9.744507616921003e-25
1.0		1.0		1.0		-1		247033		8.903000366218184e-25
1.0		1.0		1.0		-1		247034		1.0817299146732904e-24
1.0		1.0		1.0		-1		247035		9.161129893017081e-25
1.0		1.0		1.0		-1		247036		1.0377756147332686e-24
1.0		1.0		1.0		-1		247037		9.96566752325259e-25
1.0		1.0		1.0		-1		247038		1.0340837421045698e-24
1.0		1.0		1.0		-1		247039		1.03493229503449e-24
1.0		1.0		1.0		-1		247040		9.521080323546068e-25
1.0		1.0		1.0		-1		247041		1.0779365296734098e-24
1.0		1.0		1.0		-1		247042		1.0108419395711748e-24
1.0		1.0		1.0		-1		247043		1.028559438760573e-24
1.0		1.0		1.0		-1		247044		9.030931164037431e-25
1.0		1.0		1.0		-1		247045		9.679564493213536e-25
1.0		1.0		1.0		-1		247046		9.263473942991867e-25
1.0		1.0		1.0		-1		247047		9.09850700446344e-25
1.0		1.0		1.0		-1		247048		1.0390630585414926e-24
1.0		1.0		1.0		-1		247049		9.34994463331697e-25
1.0		1.0		1.0		-1		247050		1.0322024711163928e-24
1.0		1.0		1.0		-1		247051		1.1008903342167075e-24
1.0		1.0		1.0		-1		247052		9.360921424418289e-25
1.0		1.0		1.0		-1		247053		1.0875049064270558e-24
1.0		1.0		1.0		-1		247054		8.752601174925899e-25
1.0		1.0		1.0		-1		247055		7.989624872448719e-25
1.0		1.0		1.0		-1		247056		1.2092324871084777e-24
1.0		1.0		1.0		-1		247057		1.156355754620879e-24
1.0		1.0		1.0		-1		247058		1.0101510691233992e-24
1.0		1.0		1.0		-1		247059		1.0995127205632682e-24
1.0		1.0		1.0		-1		247060		1.0269390090391177e-24
1.0		1.0		1.0		-1		247061		9.440417792089895e-25
1.0		1.0		1.0		-1		247062		9.581831395388954e-25
1.0		1.0		1.0		-1		247063		9.123883743215807e-25
1.0		1.0		1.0		-1		247064		9.735963878467216e-25
1.0		1.0		1.0		-1		247065		9.361507070473154e-25
1.0		1.0		1.0		-1		247066		9.769397594683838e-25
1.0		1.0		1.0		-1		247067		1.0146249330625277e-24
1.0		1.0		1.0		-1		247068		1.0310282785623592e-24
1.0		1.0		1.0		-1		247069		9.981286523841534e-25
1.0		1.0		1.0		-1		247070		9.365124455986976e-25
1.0		1.0		1.0		-1		247071		1.1380596860907613e-24
1.0		1.0		1.0		-1		247072		9.994349826701406e-25
1.0		1.0		1.0		-1		247073		1.0749785923841905e-24
1.0		1.0		1.0		-1		247074		1.0631773729414572e-24
1.0		1.0		1.0		-1		247075		9.982088830774022e-25
1.0		1.0		1.0		-1		247076		9.791805248079478e-25
1.0		1.0		1.0		-1		247077		9.908135069038127e-25
1.0		1.0		1.0		-1		247078		9.947633761408566e-25
1.0		1.0		1.0		-1		247079		1.1686511713087957e-24
1.0		1.0		1.0		-1		247080		1.2783574478112532e-24
1.0		1.0		1.0		-1		247081		1.025223495968188e-24
1.0		1.0		1.0		-1		247082		9.98675346632649e-25
1.0		1.0		1.0		-1		247083		9.667378587291917e-25
