massPhi	mass_S1	mass_S2	ctau	nevents	efficiency
200	50	50	2.049074689815847	10000	0.0025836381657210077
200	50	50	2.12145178491063	10000	0.0024948100119520054
200	50	50	2.196385372416546	10000	0.002564187969436007
200	50	50	2.2739657523579275	10000	0.002440048529768005
200	50	50	2.3542864143224165	10000	0.0024627951357850046
200	50	50	2.4374441501222206	10000	0.002290496073102008
200	50	50	2.523539170434766	10000	0.002112316905736006
200	50	50	2.612675225563328	10000	0.0023272331907520033
200	50	50	2.704959730463134	10000	0.0019920769915510025
200	50	50	2.800503894183631	10000	0.002071371495568001
200	50	50	2.899422853882877	10000	0.0019697545031169975
200	50	50	3.001835813575589	10000	0.0018651200257349988
200	50	50	3.107866187782012	10000	0.0018740289148009989
200	50	50	3.2176417502507353	10000	0.001988318462768002
200	50	50	3.3312947879346737	10000	0.001696230783050998
200	50	50	3.448962260405758	10000	0.0018639369485850031
200	50	50	3.5707859649004625	10000	0.0017973181949009999
200	50	50	3.6969127071950263	10000	0.0015650566232019991
200	50	50	3.827494478516311	10000	0.0016291309275009976
200	50	50	3.9626886387014784	10000	0.0015101017684669997
200	50	50	4.102658105827192	10000	0.0014639054388339973
200	50	50	4.247571552536899	10000	0.0015463793200689987
200	50	50	4.397603609302719	10000	0.0013125248448839996
200	50	50	4.552935074866948	10000	0.0011390283327349989
200	50	50	4.7137531341167245	10000	0.001323904624966997
200	50	50	4.880251583654431	10000	0.0010708948374339984
200	50	50	5.05263106533568	10000	0.001318659060167999
200	50	50	5.231099308056261	10000	0.001075005696333999
200	50	50	5.415871378079471	10000	0.0010040489102009994
200	50	50	5.607169938205458	10000	0.0008928112307499993
200	50	50	5.8052255160948985	10000	0.0010305560038669987
200	50	50	6.010276782070382	10000	0.0012683094097009997
200	50	50	6.222570836730228	10000	0.0008866151413339992
200	50	50	6.44236350872137	10000	0.0007861049155669993
200	50	50	6.669919663030122	10000	0.0007761957682010001
200	50	50	6.9055135201623274	10000	0.000900586457566999
200	50	50	7.149428986597577	10000	0.0008431445421999996
200	50	50	7.40195999691564	10000	0.0006719516259510003
200	50	50	7.663410868007454	10000	0.0006915714275670002
200	50	50	7.934096665797492	10000	0.0006658595309000003
200	50	50	8.214343584919426	10000	0.0005494930763
200	50	50	8.504489341802678	10000	0.0005500088753010002
200	50	50	8.80488358164346	10000	0.0004746468972670001
200	50	50	9.115888299750818	10000	0.00044982133396700004
200	50	50	9.437878277775381	10000	0.0005322572242670001
200	50	50	9.771241535346496	10000	0.0004913185836669996
200	50	50	10.11637979766207	10000	0.0004341015740340003
200	50	50	10.473708979594498	10000	0.00045885489466700007
200	50	50	10.843659686896098	10000	0.00024632719049999985
200	50	50	11.226677735108137	10000	0.0004624723061000001
200	50	50	11.623224686798519	10000	0.00022290722826699997
200	50	50	12.033778407775893	10000	0.00033271821376699984
200	50	50	12.458833642950081	10000	0.0004131816551669999
200	50	50	12.89890261253308	10000	0.0003244325719000001
200	50	50	13.354515629298987	10000	0.00025130334156699987
200	50	50	13.82622173764655	10000	0.00025560176565000016
200	50	50	14.314589375234785	10000	0.000202525803667
200	50	50	14.820207057988586	10000	0.000287227498367
200	50	50	15.343684089300117	10000	0.00016949374219999992
200	50	50	15.885651294280526	10000	0.0001857384974
200	50	50	16.446761779946627	10000	0.00019571701524999992
200	50	50	17.027691722258997	10000	0.0002193332864999999
200	50	50	17.62914118095948	10000	0.00016685736739999993
200	50	50	18.251834943190424	10000	0.000209064443567
200	50	50	18.896523396912098	10000	0.00020108944710000003
200	50	50	19.563983435170627	10000	8.458461416699995e-05
200	50	50	20.255019392306664	10000	9.176246003399997e-05
200	50	50	20.970464013232327	10000	0.00024009092050000005
200	50	50	21.711179456945032	10000	0.000101369232667
200	50	50	22.47805833548725	10000	9.626353759999995e-05
200	50	50	23.272024789604075	10000	0.000125682993667
200	50	50	24.094035602395245	10000	9.152383939999999e-05
200	50	50	24.945081352303166	10000	0.00011407169079999997
200	50	50	25.826187606826746	10000	0.000117036880867
200	50	50	26.738416158399467	10000	8.897063500000001e-05
200	50	50	27.682866303920637	10000	7.576212266700001e-05
200	50	50	28.660676169482503	10000	1.4245537567e-05
200	50	50	29.673024081888695	10000	5.6745570099999984e-05
200	50	50	30.72112998861756	10000	6.0519609467e-05
200	50	50	31.80625692794119	10000	5.124679769999999e-05
200	50	50	32.92971255097148	10000	4.2791410999999995e-05
200	50	50	34.09285069746811	10000	5.897912309999997e-05
